Rathmines,wk 7,wk 6,wk 5,wk 4,wk 3,wk 2,wk 1,wk 52,wk 51 ,wk 50,wk 49,wk 48,wk 47,wk 46,wk 45,wk 44,wk 43
Turnover,"5,206.00","6,593.00","5,932.00","4,716.00","4,892.00","4,969.00","5,025.00","3,254.00","6,914.00","9,692.00","6,169.00","6,954.00","5,899.00","5,842.00","5,277.00","5,587.00","5,265.00"
Gross Profit,"2,869.00","4,921.00","3,075.00","3,504.00","2,706.00","2,898.00","3,114.00","1,667.00","3,945.00","6,687.00","4,275.00","3,737.00","3,836.00","5,039.00","3,777.00","3,471.00","3,737.00"
Gross Margin,0.55,0.75,0.52,0.74,0.55,0.54,0.53,0.51,0.57,0.69,0.69,0.54,0.65,0.86,0.72,0.62,0.71
Net Profit/(Loss),"-4,058.00",195.00,"-2,457.00","-1,122.00","-1,339.00","-1,242.00",-964.00,"-2,175.00",-521.00,"1,957.02",-771.22,"-1,007.52","-1,280.90",886.94,294.18,"-2,223.73","-1,571.79"
Total Wage,"1,845.00","2,134.00","2,040.00","1,819.00","1,486.00","1,605.00","1,539.00","2,451.00","2,994.00","3,312.00","3,353.00","3,353.00","3,222.00","2,611.00","2,092.00","3,801.00","3,770.00"
Director's salaries (incl pension),908.00,904.00,896.00,899.00,905.00,903.00,930.00,866.00,886.00,889.00,894.00,952.00,796.00,796.00,796.00,796.00,796.00
Staff wages,937.00,"1,230.00","1,144.00",920.00,581.00,703.00,610.00,"1,585.00","2,108.00","2,423.00","2,459.00","2,401.00","2,426.00","1,814.00","1,295.00","3,005.00","2,974.00"
Director's salaries (incl pension) %,0.17,0.14,0.15,0.19,0.19,0.18,0.19,0.27,0.13,0.09,0.14,0.14,0.13,0.14,0.15,0.14,0.15
Staff wages cost %,0.18,0.19,0.19,0.20,0.12,0.14,0.12,0.49,0.30,0.25,0.40,0.35,0.41,0.31,0.25,0.54,0.56
Wage cost %,0.35,0.32,0.34,0.39,0.30,0.32,0.31,0.75,0.43,0.34,0.54,0.48,0.55,0.45,0.40,0.68,0.72
Food GP%,0.67,0.86,0.60,0.92,0.64,0.66,0.81,0.61,0.64,0.79,0.82,0.58,0.74,0.92,0.84,0.65,0.82
Drink GP%,0.61,0.78,0.70,0.67,0.67,0.67,0.61,0.63,0.92,0.76,0.69,0.77,0.83,0.96,0.78,0.95,0.76
