Smithfield,wk 7,wk 6,wk 5,wk 4,wk 3,wk 2,wk 1,wk 52,wk 51 ,wk 50,wk 49,wk 48,wk 47,wk 46,wk 45,wk 44,wk 43
Turnover,"13,337.00","11,664.00","12,152.00","9,270.00","10,046.00","9,691.00","11,739.00","7,306.00","14,330.00","15,409.00","13,116.00","13,790.00","11,587.00","11,946.00","12,375.00","10,887.00","11,968.00"
Gross Profit,"9,408.00","9,564.00","7,414.00","6,936.00","6,975.00","7,466.00","8,241.00","5,381.00","10,633.00","10,774.00","9,260.00","9,968.00","8,710.00","9,339.00","9,399.00","7,291.00","9,810.00"
Gross Margin,0.71,0.82,0.61,0.75,0.69,0.77,0.70,0.74,0.74,0.70,0.71,0.72,0.75,0.78,0.76,0.67,0.82
Net Profit/(Loss),"3,162.00","2,556.00","1,210.00","1,778.00",687.00,357.00,-567.00,"-2,458.00","1,206.00","3,473.00","1,176.00","3,225.00","1,455.00","2,269.00","2,185.00",480.00,"1,660.00"
Total Wage,"3,931.00","4,526.00","3,566.00","2,879.00","3,699.00","4,721.00","6,015.00","5,065.00","4,875.00","5,027.00","5,364.00","4,447.00","4,817.00","4,738.00","4,910.00","4,555.00","5,916.00"
Director's salaries (incl pension),221.00,221.00,221.00,221.00,221.00,221.00,221.00,221.00,221.00,221.00,221.00,221.00,221.00,221.00,221.00,221.00,221.00
Staff wages,"3,710.00","4,304.00","3,344.00","2,658.00","3,477.00","4,500.00","5,793.00","4,843.00","4,653.00","4,805.00","5,142.00","4,226.00","4,596.00","4,517.00","4,689.00","4,334.00","5,694.00"
Director's salaries (incl pension) %,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Staff wages cost %,0.28,0.37,0.28,0.29,0.35,0.46,0.49,0.66,0.32,0.31,0.39,0.31,0.40,0.38,0.38,0.40,0.48
Wage cost %,0.29,0.39,0.29,0.31,0.37,0.49,0.51,0.69,0.34,0.33,0.41,0.32,0.42,0.40,0.40,0.42,0.49
Food GP%,0.74,0.86,0.60,0.80,0.71,0.80,0.69,0.74,0.76,0.71,0.75,0.72,0.76,0.80,0.78,0.64,0.84
Drink GP%,0.76,0.89,0.86,0.88,0.89,0.84,0.90,0.87,0.87,0.89,0.84,0.90,0.96,0.93,0.91,0.88,0.87
